gated_days,total_redeem_req,total_redeem_paid,total_deferred,max_dd_aum,max_dd_nav,final_aum,final_nav,min_cash_ratio,cash_buffer_pct,gate_threshold,max_daily_pay_pct,score
0,308604290.05881184,308604290.05881184,0.0,0.9963376938008607,0.9832936241085419,5754212.062434266,0.02715072728443111,0.020003457285790543,0.04,0.02,0.05,6.948275717221387
0,308604290.05881184,308604290.05881184,0.0,0.9963376938008607,0.9832936241085419,5754212.062434266,0.02715072728443111,0.020003457285790543,0.04,0.02,0.1,6.948275717221387
0,308604290.05881184,308604290.05881184,0.0,0.9963376938008607,0.9832936241085419,5754212.062434266,0.02715072728443111,0.020003457285790543,0.04,0.02,0.02,6.948275717221387
0,309020902.4397717,309020902.4397717,0.0,0.9963392882352581,0.9833008974546057,5762176.803379795,0.027188308191592136,0.020003457285790543,0.01,0.02,0.02,6.948298236085502
0,308904294.8310267,308904294.8310267,0.0,0.9963392882352581,0.9833008974546057,5759947.629889385,0.02717779003882837,0.020003457285790546,0.03,0.02,0.02,6.948298236085502
0,309020902.4397717,309020902.4397717,0.0,0.9963392882352581,0.9833008974546057,5762176.803379795,0.027188308191592136,0.020003457285790543,0.01,0.02,0.05,6.948298236085502
0,308992140.66152114,308992140.66152114,0.0,0.9963392882352581,0.9833008974546057,5761640.516660573,0.02718577777138832,0.020003457285790543,0.02,0.02,0.02,6.948298236085502
0,309020902.4397717,309020902.4397717,0.0,0.9963392882352581,0.9833008974546057,5762176.803379795,0.027188308191592136,0.020003457285790543,0.01,0.02,0.1,6.948298236085502
0,308904294.8310267,308904294.8310267,0.0,0.9963392882352581,0.9833008974546057,5759947.629889385,0.02717779003882837,0.020003457285790546,0.03,0.02,0.1,6.948298236085502
0,308904294.8310267,308904294.8310267,0.0,0.9963392882352581,0.9833008974546057,5759947.629889385,0.02717779003882837,0.020003457285790546,0.03,0.02,0.05,6.948298236085502
0,308992140.66152114,308992140.66152114,0.0,0.9963392882352581,0.9833008974546057,5761640.516660573,0.02718577777138832,0.020003457285790543,0.02,0.02,0.1,6.948298236085502
0,308992140.66152114,308992140.66152114,0.0,0.9963392882352581,0.9833008974546057,5761640.516660573,0.02718577777138832,0.020003457285790543,0.02,0.02,0.05,6.948298236085502
0,305765800.4369623,305765800.4369623,0.0,0.9965301493150578,0.9841715501987518,5468640.398153009,0.02580328330896847,0.01000151744486344,0.04,0.01,0.1,6.950993846972793
0,305765800.4369623,305765800.4369623,0.0,0.9965301493150578,0.9841715501987518,5468640.398153009,0.02580328330896847,0.01000151744486344,0.04,0.01,0.05,6.950993846972793
0,305765800.4369623,305765800.4369623,0.0,0.9965301493150578,0.9841715501987518,5468640.398153009,0.02580328330896847,0.01000151744486344,0.04,0.01,0.02,6.950993846972793
0,304999943.5204,304999943.5204,0.0,0.9965452039943978,0.9842402252680397,5453757.868924749,0.025733061445749873,0.010001517444863437,0.03,0.01,0.05,6.951206470508068
0,304999943.5204,304999943.5204,0.0,0.9965452039943978,0.9842402252680397,5453757.868924749,0.025733061445749873,0.010001517444863437,0.03,0.01,0.1,6.951206470508068
0,304999943.5204,304999943.5204,0.0,0.9965452039943978,0.9842402252680397,5453757.868924749,0.025733061445749873,0.010001517444863437,0.03,0.01,0.02,6.951206470508068
0,305258327.8233036,305258327.8233036,0.0,0.9965474706669458,0.9842505651690614,5458473.2428063145,0.025755310509377245,0.010001517444863437,0.02,0.01,0.05,6.951238483672851
0,305258327.8233036,305258327.8233036,0.0,0.9965474706669458,0.9842505651690614,5458473.2428063145,0.025755310509377245,0.010001517444863437,0.02,0.01,0.1,6.951238483672851
0,305327589.6000827,305327589.6000827,0.0,0.9965474706669458,0.9842505651690614,5459761.718772135,0.025761390066262,0.010001517444863441,0.01,0.01,0.1,6.951238483672851
0,305327589.6000827,305327589.6000827,0.0,0.9965474706669458,0.9842505651690614,5459761.718772135,0.025761390066262,0.010001517444863441,0.01,0.01,0.02,6.951238483672851
0,305327589.6000827,305327589.6000827,0.0,0.9965474706669458,0.9842505651690614,5459761.718772135,0.025761390066262,0.010001517444863441,0.01,0.01,0.05,6.951238483672851
0,305258327.8233036,305258327.8233036,0.0,0.9965474706669458,0.9842505651690614,5458473.2428063145,0.025755310509377245,0.010001517444863437,0.02,0.01,0.02,6.951238483672851
0,304280348.65712285,304280348.65712285,0.0,0.9966158717782205,0.9845625911478332,5341007.006793859,0.025201056737618684,0.0050006164700950465,0.04,0.005,0.05,6.952204541186769
0,304280348.65712285,304280348.65712285,0.0,0.9966158717782205,0.9845625911478332,5341007.006793859,0.025201056737618684,0.0050006164700950465,0.04,0.005,0.02,6.952204541186769
0,304280348.65712285,304280348.65712285,0.0,0.9966158717782205,0.9845625911478332,5341007.006793859,0.025201056737618684,0.0050006164700950465,0.04,0.005,0.1,6.952204541186769
0,303505568.1948534,303505568.1948534,0.0,0.9966306712426652,0.9846301020009844,5326287.325933667,0.02513160325964244,0.005000616470095046,0.03,0.005,0.1,6.9524135602152946
0,303505568.1948534,303505568.1948534,0.0,0.9966306712426652,0.9846301020009844,5326287.325933667,0.02513160325964244,0.005000616470095046,0.03,0.005,0.02,6.9524135602152946
0,303505568.1948534,303505568.1948534,0.0,0.9966306712426652,0.9846301020009844,5326287.325933667,0.02513160325964244,0.005000616470095046,0.03,0.005,0.05,6.9524135602152946
0,303245298.0710002,303245298.0710002,0.0,0.9966393290596707,0.984669596444493,5321216.32187942,0.025107676187327198,0.0050006164700950465,0.02,0.005,0.1,6.952535838187339
