gated_days,total_redeem_req,total_redeem_paid,total_deferred,max_dd_aum,max_dd_nav,final_aum,final_nav,min_cash_ratio,cash_buffer_pct,gate_threshold,max_daily_pay_pct,score
0,190998367.65129104,190998367.65129104,0.0,0.9904077764751451,0.9832883138317111,15071292.598433426,0.027159357395412278,0.020003457285790546,0.04,0.02,0.05,6.918615510039148
0,190998367.65129104,190998367.65129104,0.0,0.9904077764751451,0.9832883138317111,15071292.598433426,0.027159357395412278,0.020003457285790546,0.04,0.02,0.1,6.918615510039148
0,190998367.65129104,190998367.65129104,0.0,0.9904077764751451,0.9832883138317111,15071292.598433426,0.027159357395412278,0.020003457285790546,0.04,0.02,0.02,6.918615510039148
0,191252194.80718902,191252194.80718902,0.0,0.9904119525790273,0.9832955894896755,15092153.654640326,0.02719695024801391,0.020003457285790543,0.01,0.02,0.02,6.918650941874487
0,191181147.5639127,191181147.5639127,0.0,0.9904119525790274,0.9832955894896755,15086315.05752878,0.027186428751957443,0.020003457285790543,0.03,0.02,0.1,6.918650941874487
0,191252194.80718902,191252194.80718902,0.0,0.9904119525790273,0.9832955894896755,15092153.654640326,0.02719695024801391,0.020003457285790543,0.01,0.02,0.05,6.918650941874487
0,191252194.80718902,191252194.80718902,0.0,0.9904119525790273,0.9832955894896755,15092153.654640326,0.02719695024801391,0.020003457285790543,0.01,0.02,0.1,6.918650941874487
0,191181147.5639127,191181147.5639127,0.0,0.9904119525790274,0.9832955894896755,15086315.05752878,0.027186428751957443,0.020003457285790543,0.03,0.02,0.05,6.918650941874487
0,191181147.5639127,191181147.5639127,0.0,0.9904119525790274,0.9832955894896755,15086315.05752878,0.027186428751957443,0.020003457285790543,0.03,0.02,0.02,6.918650941874487
0,191234393.7814457,191234393.7814457,0.0,0.9904119525790274,0.9832955894896757,15090749.0254792,0.027194419023492462,0.020003457285790543,0.02,0.02,0.1,6.918650941874488
0,191234393.7814457,191234393.7814457,0.0,0.9904119525790274,0.9832955894896757,15090749.0254792,0.027194419023492462,0.020003457285790543,0.02,0.02,0.05,6.918650941874488
0,191234393.7814457,191234393.7814457,0.0,0.9904119525790274,0.9832955894896757,15090749.0254792,0.027194419023492462,0.020003457285790543,0.02,0.02,0.02,6.918650941874488
0,189646327.21617427,189646327.21617427,0.0,0.9909101281211806,0.9841635168576743,14326046.01294973,0.025816379131891186,0.01000151744486344,0.04,0.01,0.1,6.922877674321251
0,189646327.21617427,189646327.21617427,0.0,0.9909101281211806,0.9841635168576743,14326046.01294973,0.025816379131891186,0.01000151744486344,0.04,0.01,0.05,6.922877674321251
0,189646327.21617427,189646327.21617427,0.0,0.9909101281211806,0.9841635168576743,14326046.01294973,0.025816379131891186,0.01000151744486344,0.04,0.01,0.02,6.922877674321251
0,189196481.4702789,189196481.4702789,0.0,0.9909495664483026,0.9842322267813075,14287058.662714606,0.025746121629290124,0.010001517444863441,0.03,0.01,0.05,6.923212285804127
0,189196481.4702789,189196481.4702789,0.0,0.9909495664483026,0.9842322267813075,14287058.662714606,0.025746121629290124,0.010001517444863441,0.03,0.01,0.1,6.923212285804127
0,189196481.4702789,189196481.4702789,0.0,0.9909495664483026,0.9842322267813075,14287058.662714606,0.025746121629290124,0.010001517444863441,0.03,0.01,0.02,6.923212285804127
0,189354740.9356904,189354740.9356904,0.0,0.9909555043876906,0.984242571930092,14299411.397266073,0.025768381984883567,0.01000151744486344,0.02,0.01,0.05,6.923262665798637
0,189354740.9356904,189354740.9356904,0.0,0.9909555043876906,0.984242571930092,14299411.397266073,0.025768381984883567,0.01000151744486344,0.02,0.01,0.1,6.923262665798637
0,189396643.59950665,189396643.59950665,0.0,0.9909555043876906,0.984242571930092,14302786.782120207,0.02577446462729806,0.01000151744486344,0.01,0.01,0.1,6.923262665798637
0,189396643.59950665,189396643.59950665,0.0,0.9909555043876906,0.984242571930092,14302786.782120207,0.02577446462729806,0.01000151744486344,0.01,0.01,0.02,6.923262665798637
0,189396643.59950665,189396643.59950665,0.0,0.9909555043876906,0.984242571930092,14302786.782120207,0.02577446462729806,0.01000151744486344,0.01,0.01,0.05,6.923262665798637
0,189354740.9356904,189354740.9356904,0.0,0.9909555043876906,0.984242571930092,14299411.397266073,0.025768381984883567,0.01000151744486344,0.02,0.01,0.02,6.923262665798637
0,188932063.54716864,188932063.54716864,0.0,0.9911345458593769,0.9845545001163125,13991920.39436963,0.025214265077591468,0.005000616470095046,0.04,0.005,0.05,6.924781729529509
0,188932063.54716864,188932063.54716864,0.0,0.9911345458593769,0.9845545001163125,13991920.39436963,0.025214265077591468,0.005000616470095046,0.04,0.005,0.02,6.924781729529509
0,188932063.54716864,188932063.54716864,0.0,0.9911345458593769,0.9845545001163125,13991920.39436963,0.025214265077591468,0.005000616470095046,0.04,0.005,0.1,6.924781729529509
0,188475180.05497083,188475180.05497083,0.0,0.9911733162500778,0.9846220463531506,13953359.013984839,0.02514477519776259,0.005000616470095046,0.03,0.005,0.1,6.92511067395669
0,188475180.05497083,188475180.05497083,0.0,0.9911733162500778,0.9846220463531506,13953359.013984839,0.02514477519776259,0.005000616470095046,0.03,0.005,0.02,6.92511067395669
0,188475180.05497083,188475180.05497083,0.0,0.9911733162500778,0.9846220463531506,13953359.013984839,0.02514477519776259,0.005000616470095046,0.03,0.005,0.05,6.92511067395669
0,188324427.0354196,188324427.0354196,0.0,0.9911959972700006,0.9846615614964276,13940074.42458889,0.025120835584826313,0.005000616470095047,0.02,0.005,0.1,6.925303109342859
